Column,name,wiki_name,birth_date,link,born_place,lat,long,Born in,kneset,Knesset_number,education,occupations,army_service,language
248,גורי ישראל,,01/01/1893,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=334,הירשאני-רוסיה,60,100,רוסיה,"חבר הכנסת ה-1, 2, 3, 4, 5","1 ,2 ,3 ,4 ,5","['למד ב”חדר”, בבית-ספר תיכון בקישינייב ובאוניברסיטת אודסה.']",,,
249,גורלובסקי מיכאל,,24/01/1963,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=733,דזרז`ינסק-ברית-המועצות,,,ברית המועצות,חבר הכנסת ה-16,16,['תואר שני בהנדסת מכונות'],,,"שפות
רוסית"
250,גורן שרגא,,01/01/1898,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=335,מקרוב-אוקראינה,49,32,אוקראינה,חבר הכנסת ה-1,1,['- למד ב”חדר” ובבית-ספר תיכון בקייב.  - למד לימודים חלקיים באוניברסיטת קייב.'],,,
251,גז מטילדה,,15/08/1918,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=336,סוס-תוניסיה,34,9,תוניסיה,"חברת הכנסת ה-6, 7, 8","6 ,7 ,8",['למדה בבית-ספר תיכון צרפתי בסוס.'],,,
252,גטאס באסל,,23/03/1956,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=867,נצרת-ישראל,32.70056,35.29722,ישראל,"חבר הכנסת ה-19, 20","19 ,20","['- MBA – תואר שני במינהל עסקים בתוכנית המשותפת של אוניברסיטת נורתווסטרן ואוניברסיטת תל-אביב  - דוקטורט בהנדסה סביבתית בטכניון, המכון הטכנולוגי לישראל, חיפה']","['מנכ”ל של עמותה, חוקר מחקר יישומי, יועץ כלכלי']",,"עברית, אנגלית, ערבית"
253,גיבלבר אברהם,,23/03/1910,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=337,פולין,52,20,פולין,חבר הכנסת ה-8,8,,,,
254,גיל יעקב,,17/01/1931,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=338,ירושלים-ישראל,31.78199,35.21961,ישראל,"חבר הכנסת ה-10, 11","10 ,11",['- למד במוסד החינוכי ”בית-אלפא”.  - למד עבודה סוציאלית באוניברסיטה העברית.'],,,
255,גיל יעקב,,01/01/1908,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=339,טבריה-ישראל,32.79221,35.53124,ישראל,חבר הכנסת ה-1,1,"['- למד בתלמוד תורה ובישיבות ”אור תורה” בטבריה ו”עץ חיים” בירושלים.  - הוסמך לרבנות.  - נבחן בבחינות בגרות אקסטרניות.  - בשנים 1935–1938 למד באוניברסיטה העברית מקרא, שפות שמיות וקלאסיות והיסטוריה כללית וקיבל תואר מוסמך למדעי הרוח.  - בעל תואר דוקטור לפילוסופיה.']",,"- התגייס לצבא הבריטי.
- התמנה לרב הצבאי הראשי של הבריגדה היהודית.",
256,גילאון אילן,,"ב' בסיוון תשט""ז, 12/05/1956",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=200,רומניה,46,25,רומניה,"חבר הכנסת ה-15, 18, 19, 20, 21, 22","15 ,18 ,19 ,20 ,21 ,22","['לימודים לתואר ראשון ביחסים בין-לאומיים ומדע המדינה,האוניברסיטה העברית, ירושלים (לא השלים את חובותיו האקדמיות)']",,טוראי בחיל החינוך (התנדב לשירות),"עברית, אנגלית, צרפתית, רומנית"
257,גינזבורג איתן,Eitan Ginzburg,"ו' בשבט תשל""ז, 25/01/1977",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=981,ארגנטינה,-34,-64,ארגנטינה,"21,23,22-חבר כנסת ה","21,23,22","['- תואר ראשון במשפטים, המרכז הבינתחומי הרצלייה  - תואר ראשון בממשל, המרכז הבינתחומי הרצלייה  - תואר שני במדעי המדינה, מנהיגות ציבורית ופוליטית, אוניברסיטת תל אביב  - מעוז – SEAL – יזמות חברתית ומנהיגות בישראל']",['מקצוע\nעורך דין'],"שירות צבאי
- רב-סרן במילואים
- נציג פיקוד העורף במרכז התנועות הלאומי
",
258,גל גדליה,,14/02/1933,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=142,מגדיאל-ישראל,32.15965,34.90147,ישראל,"חבר הכנסת ה-12, 13","12 ,13",['השכלה תיכונית מקצועית'],['חקלאי'],בדרגת סגן-אלוף,"שפות
אנגלית"
259,גל שרון,,13/08/1974,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=920,ישראל,31.5,34.75,ישראל,חבר הכנסת ה-20,20,['1980–1992: ריאלי חיפה ושיפמן טירת-הכרמל'],"['כתב, עורך, במאי ומגיש חדשות']",שירות צבאי מלא בדרגת רב-סמל,"שפות
אנגלית, ערבית, צרפתית"
260,גלאון זהבה,,"כ' בטבת תשט""ז, 04/01/1956",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=201,ברית-המועצות,,,ברית המועצות,"חברת הכנסת ה-15, 16, 17, 18, 19, 20","15 ,16 ,17 ,18 ,19 ,20","['- תואר BED בחינוך מיוחד ולשון, מכללת בית-ברל  - תואר שני בפילוסופיה של החינוך, האוניברסיטה העברית בירושלים  - דוקטורנטית בחוג למגדר באוניברסיטת בר-אילן']",,סמלת,"אנגלית, רוסית, יידיש"
261,גלוסקא זכריה,,01/01/1894,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=340,נאדיר-תימן,15.5,47.5,תימן,חבר הכנסת ה-1,1,['למד ב”חדר” בארץ.'],,,
262,גלזר אלחנן,,"כ""ז באב תש""ז, 13/08/1947",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=798,רחובות-ישראל,31.89421,34.81199,ישראל,חבר הכנסת ה-17,17,"['- טכנאי תעשייה וניהול, המכון לפריון העבודה  - ניהול כלכלה ויחסי עבודה, הטכניון']",['טכנאי תעשיה וניהול'],"חטיבת גולני, רס”ן בחיל הקשר והאלקטרוניקה","שפות
אנגלית"
263,גלזר-תעסה מרים,,11/08/1929,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=341,חוביש-תימן,15.5,47.5,תימן,"חברת הכנסת ה-10, 11","10 ,11","['- בוגרת גימנסיה ”תלפיות” בתל-אביב  - תואר ראשון מהאוניברסיטה העברית בירושלים, 1973  - תואר שני מהסמינר התיאולוגי היהודי בארצות-הברית, 1975']",,"- 1955 – שירות בצה”ל
- 1945–1948 – חברה ומפקדת באצ”ל
",
264,גלילי ישראל,,10/02/1911,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=342,בראילוב-אוקראינה,49,32,אוקראינה,"חבר הכנסת ה-1, 3, 4, 5, 6, 7, 8","1 ,3 ,4 ,5 ,6 ,7 ,8",['לימודי דפוס בבית-ספר יסודי בתל-אביב'],,"- בשנת 1927 התגייס ל”הגנה”.
- בשנת 1935 נתמנה לחבר המפקדה הארצית של ”ההגנה”.
- במלחמת העולם השנייה השתתף בהכנות לקראת פלישה גרמנית אפשרית לארץ-ישראל.
- לאחר מלחמת העולם השנייה עסק בפעילות מחתרתית מזוינת נגד הבריטים והופקד על הרכש של ”ההגנה” ועל חימוש כוחותיה.
- בשנים 1946–1948 שירת בתפקיד ראש המטה הארצי של ”ההגנה” ולקח חלק בהכנות למלחמת העצמאות.
",
265,גליק יהודה יהושע,,"כ""ה בחשוון תשכ""ו, 20/11/1965",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=955,ניו-יורק-ארצות-הברית,40.71427,-74.00597,ארצות הברית,חבר הכנסת ה-20,20,"['- תואר ראשון (B.ed) בהוראת תנ”ך ותורה שבעל-פה ממכללת ירושלים  - תואר שני (MA) בתולדות עם ישראל מטורו קולג`  - תעודת מורה-דרך מטעם משרד התיירות  - בוגר ישיבות טלז-סטון, מקור-חיים, הר-עציון ועתניאל']",['מורה דרך'],"- בשנים 1986–1989 שירת, במסגרת ישיבת ההסדר, בחיל השריון ולאחר מכן בחיל המודיעין.
- השלים קורס חובשים קרביים ושירת במילואים כחובש קרבי וכאיש גמ”ר.","שפות
עברית, אנגלית, רוסית"
266,גלנט יואב,Yoav Galant,"כ""ה בחשוון תשי""ט, 08/11/1958",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=921,תל-אביב-יפו-ישראל,32.08088,34.78057,ישראל,"20,21,23,22-חבר כנסת ה","20,21,23,22","['- תואר ראשון בכלכלה ומינהל עסקים, אוניברסיטת חיפה  - ניהול בכיר, אוניברסיטת הרווארד']","['מקצוע\nלוחם, חייל']","שירות צבאי
אלוף",
267,גלנטי יצחק,,"א' באדר תרצ""ז, 12/12/1937",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=799,דמשק-סוריה,33.5102,36.29128,סוריה,חבר הכנסת ה-17,17,"['B.A בגיאוגרפיה ומדעי המדינה, אוניברסיטת חיפה, 1981  M.A בגיאולוגיה וארכיאולוגיה, אוניברסיטת חיפה, 1990']",,רב”ט,"אנגלית, ערבית"
268,גלס דוד,,11/10/1936,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=343,בלפוריה-ישראל,32.63035,35.29651,ישראל,חבר הכנסת ה-9,9,['- למד בישיבה התיכונית ”מדרשיית נועם”.  - למדמשפטים באוניברסיטה העברית.  - מוסמך לעורך-דין.'],,,
269,גלעד יהודה,,30/08/1955,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=716,ברזיל,-10,-55,ברזיל,חבר הכנסת ה-15,15,['- תיכונית  - סמיכה לרבנות  - תואר מורה מוסמך בכיר'],"['רב, ראש-ישיבה']",סרן,"שפות
אנגלית"
270,גמליאל אריה,,11/03/1951,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=34,באר-שבע-ישראל,31.25181,34.7913,ישראל,"חבר הכנסת ה-12, 13, 14, 15","12 ,13 ,14 ,15",['- ישיבת הדרום ברחובות  - ישיבת הנגב בנתיבות  - הסמכה לרבנות'],['ראש ישיבה'],,תימנית
271,גמליאל גילה,Gila Gamliel,"ב' באדר תשל""ד, 24/02/1974",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=723,גדרה-ישראל,31.81456,34.77998,ישראל,"18,21,20,19,23,16,22-חבר כנסת ה","18,21,20,19,23,16,22","['- תואר ראשון במשפטים, המכללה האקדמית קרית-אונו  - תואר ראשון בהיסטוריה של המזרח-התיכון ובפילוסופיה, אוניברסיטת בן-גוריון  - תואר שני בפילוסופיה, אוניברסיטת בן-גוריון  - תואר שני במשפטים (LLM), אוניברסיטת בר-אילן']",,"שירות צבאי
סמלת, ראש צוות חוקרות עבודה בחיל-האוויר",
272,גנאים מסעוד,,14/02/1965,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=844,ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-18, 19, 20","18 ,19 ,20","['תואר ראשון בהיסטוריה של המזרח התיכון, אוניברסיטת חיפה']",['מורה'],,"עברית, אנגלית, ערבית"
273,גנחובסקי אליהו משה,,23/06/1901,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=344,גראיבה-פולין,52,20,פולין,"חבר הכנסת ה-1, 2","1 ,2",['למד בווארשה ובסמינר לרבנים בברלין.'],,,
274,גנץ בני,Benny Gantz,"ג' בסיוון תשי""ט, 09/06/1959",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=988,כפר-אחים-ישראל,31.7448,34.75681,ישראל,"21,23,22-חבר כנסת ה","21,23,22","['- תואר ראשון בהיסטוריה, אוניברסיטת תל אביב  - תואר שני במדע המדינה, אוניברסיטת תל אביב  - תואר דוקטור לשם כבוד מטעם אוניברסיטת בר אילן']",,"שירות צבאי
הרמטכ""ל ה-20 של צבא ההגנה לישראל",
275,גפני משה,Moshe Gafni,"ט' באייר תשי""ב, 05/05/1952",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=35,תל-אביב-ישראל,32.08088,34.78057,ישראל,"18,17,21,13,16,15,20,14,19,23,22,12-חבר כנסת ה","18,17,21,13,16,15,20,14,19,23,22,12",['- למד בישיבות סלבודקה וגרודנה'],['מקצוע\nראש כולל'],,
276,גרוס שלמה יעקב,,16/12/1908,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=346,במאסיב-הונגריה,47,20,הונגריה,"חבר הכנסת ה-3, 4, 5, 6, 7, 8, 9","3 ,4 ,5 ,6 ,7 ,8 ,9",['- למד ב”חדר” ובישיבות  - רכש השכלה תיכונית בכוחות עצמו'],,,"שפות
גרמנית, הונגרית, רומנית"
277,גרוסמן-אורקין חייקה,,20/11/1919,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=347,ביאליסטוק-פולין,53.13333,23.16433,פולין,"חברת הכנסת ה-7, 8, 9, 11","7 ,8 ,9 ,11",['- הגימנסיה העברית בביאליסטוק  - אוניברסיטאות וילנה  - אוניברסיטת תל-אביב'],,,
278,גרופר פסח,,21/08/1924,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=348,תל-אביב-ישראל,32.08088,34.78057,ישראל,"חבר הכנסת ה-8, 9, 10, 11, 12","8 ,9 ,10 ,11 ,12",['בית-ספר יסודי'],,,
279,גרידי שמעון,,01/12/1912,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=349,דמאר-תימן,15.5,47.5,תימן,חבר הכנסת ה-2,2,"['- בית-הספר ”תחכמוני”, תל-אביב  - מדעי המזרח ומדעי היהדות, האוניברסיטה העברית  - מוסמך האוניברסיטה העברית']",,,
280,גרינברג אהרן יעקב,,15/03/1900,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=350,סוקולוב-פודלסק-פולין,52,20,פולין,"חבר הכנסת ה-1, 3, 4, 5","1 ,3 ,4 ,5",['למד ב”חדר” ובישיבות.'],,,
281,גרינברג אורי צבי,,01/01/1895,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=351,ביאליקמין-גליציה,,,גליציה,חבר הכנסת ה-1,1,['חינוך מסורתי חסידי'],,בשנים 1915–1918 שירת בצבא האוסטרי. בשנת 1918 ערק מהצבא וחזר לגליציה.,
282,גרינפילד צביה,,27/10/1945,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=815,ישראל,31.5,34.75,ישראל,חברת הכנסת ה-17,17,,,,
283,גרמן יעל,,"י""ט באב תש""ז, 05/08/1947",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=868,חיפה-ישראל,32.81841,34.9885,ישראל,"חברת הכנסת ה-19, 20, 21, 22","19 ,20 ,21 ,22","['- BA – תואר ראשון בהיסטוריה כללית, אוניברסיטת תל-אביב  - MBA – תואר שני במינהל עסקים, המרכז הבינתחומי  - תעודת הוראה']",,,"שפות
אנגלית, צרפתית"
284,גרנות אלעזר,,12/03/1927,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=353,ירושלים-ישראל,31.78199,35.21961,ישראל,"חבר הכנסת ה-10, 11","10 ,11","['- למד בבית-הספר התיכון החקלאי בפרדס-חנה.  - למד פילוסופיה, סוציולוגיה, ספרות עברית ותנ”ך באוניברסיטה העברית.']",,"- בשנים 1944–1946 שירת בבריגדה היהודית.
- בשנים 1947–1949 נלחם במלחמת העצמאות בקרבות ירושלים.",
285,גרנות אברהם,,19/06/1890,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=352,פלשטי-בסרביה-רוסיה,60,100,רוסיה,"חבר הכנסת ה-1, 2","1 ,2",['- למד בגימנסיה הרצליה.  - בשנת 1911 נסע לשווייץ ולמד משפטים וכלכלה באוניברסיטאות פרייבורג ולוזאן.  - בשנת 1917 קיבל תואר דוקטור למשפטים.'],,,
286,גרשוני צבי,,01/01/1915,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=354,בלצי-בסרביה,44.81892,20.45998,סרביה,"חבר הכנסת ה-7, 8","7 ,8",['- למד בבית-הספר העממי ובגימנסיה העבריים בעיר הולדתו.  - למד כלכלה באוניברסיטה העברית.'],,,
287,דבאח אחמד,,27/01/1955,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=855,ישראל,31.5,34.75,ישראל,חבר הכנסת ה-18,18,['בוגר בית המדרש הממלכתי למגזר הערבי בחיפה'],,,"שפות
עברית, ערבית"
288,דגני עמוס,,23/05/1926,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=355,תל-אביב-ישראל,32.08088,34.78057,ישראל,"חבר הכנסת ה-3, 4, 5, 6","3 ,4 ,5 ,6",['- למד בכפר-ויתקין.  - למד מינהל ציבורי באוניברסיטה העברית.'],,,
289,דהאמשה עבד-אלמאלכ,,04/03/1945,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=36,ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-14, 15, 16","14 ,15 ,16","['בוגר במשפטים, L.L.B']",['עורך-דין'],,"אנגלית, ערבית"
290,דהן נסים,,07/05/1954,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=37,מרוקו,32,-6,מרוקו,"חבר הכנסת ה-14, 15, 16","14 ,15 ,16","['ישיבה גבוהה, מוסמך לרבנות']",['רב'],"שירות מקוצר, זיהוי חללים","שפות
ערבית, צרפתית"
291,דואן אברהם,,"א' בחשוון תשט""ז, 17/10/1955",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=852,ישראל,31.5,34.75,ישראל,חבר הכנסת ה-18,18,['תואר שני בעבודה סוציאלית'],['עובד סוציאלי'],סמל ראשון – סמ”ר,"שפות
עברית, אנגלית, ערבית"
292,דובדבני יחיאל,,01/01/1896,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=356,זליה-(פלך-ווהלין)-רוסיה,60,100,רוסיה,חבר הכנסת ה-1,1,['למד בבית-ספר תיכון רוסי בקייב ושנה אחת באוניברסיטה.'],,,
293,דוברין נטע,,27/10/1975,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=766,צפת-ישראל,33.05,35.55,ישראל,חברת הכנסת ה-16,16,"[""- תואר ראשון בחינוך, סוציולוגיה ואנתרופולוגיה באוניברסיטת חיפה  - תואר שני, MBA, במינהל עסקים באוניברסיטת דרבי  - שנה א' בלימודי משפטים במכללת שערי משפט""]",,סמל,אנגלית
294,דויטש אברהם,,01/01/1889,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=357,מאדיאד-גוץ-הונגריה,47,20,הונגריה,חבר הכנסת ה-2,2,['- למד בישיבות בגונטא ובפרסבורג והוסמך לרבנות.  - למד באוניברסיטה של וינה.  - בעל תואר דוקטור לפדגוגיה ולפילוסופיה.'],,,
295,דון-יחיא שבתאי,,01/01/1909,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=358,מארינהוזן-לטביה,57,25,לטביה,חבר הכנסת ה-6,6,['- לימודים בישיבת הרב קוק  - לימודים באוניברסיטה העברית  - מוסמך להוראה'],,,
296,דורון שרה,,20/05/1922,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=359,קובנה-ליטא,54.90272,23.90961,ליטא,"חברת הכנסת ה-9, 10, 11, 12","9 ,10 ,11 ,12",['למדה בגימנסיה ”הרצליה” בתל-אביב.'],,,
297,דורון חמי,,16/10/1956,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=749,ראשון-לציון-ישראל,31.97102,34.78939,ישראל,חבר הכנסת ה-16,16,"['- תואר ראשון במשפטים – LLB, המכללה למינהל  - לימודי מדעי המדינה, אוניברסיטת תל-אביב (ללא תואר)']",['משפטן ביטוח'],"- דרגת רס”מ במסגרת קצין חינוך ראשי
- מרצה וכותב במדור ”מורשת קרב”
- מדריך בבית הספר הצבאי לחינוך, קורסי חוויה","שפות
אנגלית"
298,דותן עמירה,,"י""א באב תש""ז, 28/07/1947",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=770,תל-אביב-ישראל,32.08088,34.78057,ישראל,חברת הכנסת ה-17,17,"['תואר ראשון במדעי ההתנהגות, אוניברסיטת בן-גוריון, 1972']","['מגשרת, מנהלת']",קצינת ח”ן ראשית בצה”ל (האישה הראשונה בצה”ל שקיבלה דרגת תת-אלוף),"שפות
אנגלית, צרפתית"
299,דיאב יוסף,,01/01/1917,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=360,טמרה-ישראל,32.85301,35.1987,ישראל,חבר הכנסת ה-4,4,,,,
300,דיין חיים,,24/03/1960,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=38,מגדל-העמק-ישראל,32.67597,35.23986,ישראל,"חבר הכנסת ה-13, 14","13 ,14",['תיכונית'],"['טכנאי, איש ביטחון']",סרן,
301,דיין יעל,,12/02/1939,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=39,עפולה-–-נהלל-ישראל,31.5,34.75,ישראל,"חברת הכנסת ה-13, 14, 15","13 ,14 ,15",['- לימודי יחסים בין-לאומיים באוניברסיטה העברית במשך שלוש שנים  - לימודי מדעי החיים באוניברסיטה הפתוחה'],['סופרת ועיתונאית'],שירתה ביחידת דובר צה”ל והשתחררה בדרגת סרן.,"שפות
אנגלית, ספרדית, צרפתית, יוונית"
302,דיין אלי,,25/10/1949,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=143,אלקלעא-מרוקו,32,-6,מרוקו,"חבר הכנסת ה-12, 13","12 ,13","['תואר בוגר במשפטים, האוניברסיטה העברית בירושלים']",['עורך-דין'],בדרגת סגן,"שפות
אנגלית, צרפתית"
303,דיין שלמה,,06/11/1952,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=361,טטואן-מרוקו,35.57845,-5.36837,מרוקו,חבר הכנסת ה-12,12,['- למד בישיבה הגבוהה ”שארית יוסף” בבאר יעקב.  - מוסמך לרבנות.'],,,
304,דיין שמואל,,08/08/1891,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=362,ז`אשקוב-אוקראינה,49,32,אוקראינה,"חבר הכנסת ה-1, 2, 3","1 ,2 ,3",['קיבל חינוך תורני.'],,,
305,דיין משה,,20/05/1915,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=688,דגניה-ישראל,32.69987,35.57596,ישראל,"חבר הכנסת ה-4, 5, 6, 7, 8, 9, 10","4 ,5 ,6 ,7 ,8 ,9 ,10",['- לימודים בבית-הספר החקלאי בנהלל  - לימודים בבית-הספר לפיקוד ומטה של הצבא הבריטי  - לימודי משפטים באוניברסיטה העברית בירושלים ובאוניברסיטת תל-אביב'],,"- במאורעות 1936–1939 שירת במשטרת היישובים העבריים בעמק יזרעאל ובגליל.
- בשנים 1938–1939 שירת בפלוגות השדה ובפלוגות הלילה המיוחדות שהקים צ`רלס אורד וינגייט.
- בשנת 1941 הצטרף לכוח לחימה של ה”הגנה”, ששיתף פעולה עם הצבא הבריטי בכיבוש לבנון מידי כוחות וישי. באחת הפעולות נפצע ואיבד את עינו השמאלית.
- בתחילת מלחמת העצמאות פיקד על הגנת היישובים היהודים בעמק הירדן.
- באביב 1948 שירת כמפקד גדוד 89 שלחם ברמלה ובלוד ומאוחר יותר עצר את הכוחות המצריים בחזית הדרומית.
- באוגוסט 1948 נתמנה למפקד חזית ירושלים והגיע להסכם הפסקת אש עם מפקד הלגיון הערבי בירושלים.
- באביב 1949 השתתף בשיחות על הסכמי שביתת הנשק בין ישראל למצרים ולירדן שהתקיימו ברודוס.
- באוקטובר 1949 נתמנה לאלוף פיקוד הדרום.
- ביוני 1952 נתמנה לאלוף פיקוד הצפון.
- בדצמבר 1952 נתמנה לראש אגף מבצעים (אג”ם) במטכ”ל.
- בשנים 1953–1958 כיהן כרמטכ”ל הרביעי של מדינת ישראל.
- במבצע סיני, בשנת 1956, הנהיג את צה”ל לניצחון.",
306,דיין עוזי,Uzi Dayan,"כ""ב בטבת תש""ח, 04/01/1948",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=1010,עפולה-ישראל,32.63221,35.32533,ישראל,"21,23-חבר כנסת ה","21,23","['- תואר ראשון במתמטיקה ופיזיקה, האוניברסיטה העברית  - תואר שני בחקר ביצועים, אוניברסיטת סטנפורד בקליפורניה']",['מקצוע\nמהנדס'],"שירות צבאי
אלוף",
307,דיכטר אבי,Avi Dichter,"כ""ו בכסלו תשי""ג, 14/12/1952",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=771,אשקלון-ישראל,31.66926,34.57149,ישראל,"17,18,21,20,23,22-חבר כנסת ה","17,18,21,20,23,22","['תואר ראשון במדעי החברה, אוניברסיטת בר-אילן, סיום בשנת 1986  תואר שני במנהל עסקים, אוניברסיטת תל-אביב, סיום בשנת 1999']",,,
308,דינור בן-ציון,,01/01/1884,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=363,חורול-שבפלך-פולטבה-אוקראינה,49,32,אוקראינה,חבר הכנסת ה-1,1,"['- למד בישיבות טלז, קובנה ווילנה (ליטא).  - למד באוניברסיטת ברן ובמכון הגבוה ללימודי היהדות בברלין.  - בשנת 1902 קיבל הסמכה לרב.  - בשנת 1917 קיבל תואר מוסמך בהיסטוריה מהמחלקה ההיסטורית-פילולוגית של אוניברסיטת פטרוגרד.  - פרופסור להיסטוריה.']",['מורה ומרצה אקדמי'],,
309,דיניץ שמחה,,23/06/1929,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=364,תל-אביב-ישראל,32.08088,34.78057,ישראל,חבר הכנסת ה-11,11,['- לימודים בבית-הספר התיכון ”הרצליה” בתל-אביב  - תואר ראשון ביחסים בין-לאומיים באוניברסיטת סינסינטי שבאוהיו  - תואר שני במשפט בין-לאומי באוניברסיטת ג`ורג`טאון שבוושינגטון'],,שירת ב”הגנה” ובצה”ל,
310,דינשטיין צבי,,24/07/1926,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=365,תל-אביב-ישראל,32.08088,34.78057,ישראל,"חבר הכנסת ה-6, 7","6 ,7",['- למד בבית-הספר התיכון למסחר ”גאולה” בתל-אביב.  - למד באוניברסיטה העברית ובאוניברסיטת ז`נבה.  - בעל תואר דוקטור.'],,,
311,דיציאן ליאון,,17/11/1911,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=366,ינוב-פולין,52,20,פולין,חבר הכנסת ה-8,8,['- בעל השכלה אוניברסיטאית.  - מוסמך לעורך-דין.'],,,
312,דנון דני,,"י""ג באייר תשל""א, 08/05/1971",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=828,ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-18, 19, 20","18 ,19 ,20","['- תואר ראשון ביחסים בין-לאומיים (F.I.U), סיום בהצטיינות  - תואר שני במינהל ציבורי ומדיניות ציבורית, האוניברסיטה העברית בירושלים  - לימודי משפטים, האוניברסיטה העברית בירושלים']",['מנהל ציבורי'],"- מפקד קורס ”מרווה”
- סגן במילואים",
