Column,name,position,govermmrnt number,educaction,occupations,army_service,party
204,יוספטל גיורא,שר הפיתוח,10,"['- למד בגימנסיה בנירנברג.  - למד משפטים וכלכלה באוניברסיטאות של היידלברג, ברלין, מינכן ובאזל.  - קיבל תואר דוקטור למשפטים מאוניברסיטת באזל.']",,,מפא”י
205,שפירא חיים משה,שר הפנים,10,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,מפד”ל
206,יוספטל גיורא,שר השיכון,10,"['- למד בגימנסיה בנירנברג.  - למד משפטים וכלכלה באוניברסיטאות של היידלברג, ברלין, מינכן ובאזל.  - קיבל תואר דוקטור למשפטים מאוניברסיטת באזל.']",,,מפא”י
207,בר-יהודה ישראל,שר התחבורה,10,['למד בבית-ספר תיכון ריאלי ביאקטרינוסלב ובמכון למהנדסי מכרות בעיר.'],,,אחדות העבודה - פועלי ציון
208,אלמוגי יוסף-אהרן,שר במשרד ראש הממשלה,10,['חינוך מסורתי וכללי'],,"- עם עלייתו ארצה הצטרף לארגון ה”הגנה” ובשנת 1936 עסק בארגון פלוגות ”הפועל” (פלוגות המגן של ההסתדרות) באזור תל-אביב.
- בשנת 1937 עסק בארגון פלוגות ”הפועל” בחיפה.
- בשנת 1940 התגייס לצבא הבריטי, נפל בשבי הגרמני ביוון ונשאר שבוי עד סיום המלחמה. בהיותו בשבי הגרמני מילא תפקיד מרכזי בארגון השבויים היהודים מארץ-ישראל.",רפ”י
209,קורן יצחק,סגן שר האוצר,10,['- למד בגימנסיה בקישינב.  - למד משפטים באוניברסיטת יאסי.  - קיבל הסמכה לעורך דין ברומניה.'],,,מפא”י
210,פרס שמעון,סגן שר הביטחון,10,['- בתי-הספר ”בלפור” ו”גאולה” בתל אביב  - בית הספר החקלאי בבן שמן  - לימודים באוניברסיטת ניו-יורק  - לימודים באוניברסיטת הרווארד'],,"- משנת 1947 עד לאחר קום המדינה עבד עם דוד בן-גוריון ועם לוי אשכול במפקדת ההגנה.
- בשנת 1950 נתמנה באופן זמני לראש שירותי הים בצה”ל.
",רפ”י
211,רפאל יצחק,סגן שר הבריאות,10,"['- למד ב""חדר"".  - למד בישיבה בלובלין.  - למד בגימנסיה בלבוב.  - למדבאוניברסיטה העברית; בעל תואר MA במדעי הרוח.  - בעל תואר דוקטור לספרות מטעם הסמינר התיאולוגי בניו-יורק.']",,,מפד”ל
212,אסף עמי,סגן שר החינוך והתרבות,10,['למד בבית-ספר בראש-פינה ובגימנסיה ”הרצליה”.'],,,מפא”י
213,בן-מאיר שלמה ישראל,סגן שר הפנים,10,['- ישיבת ”ר` יצחק אלחנן” ו”ישיבה יוניברסיטי”  - אוניברסיטת ניו-יורק  - מוסמך לרבנות ובעל תואר דוקטור למשפטים'],,,מפד”ל
214,אשכול לוי,ראש הממשלה,11,['- למד ב”חדר”.  - למד שנתיים בגימנסיה עברית בווילנה.'],,"- בשנים 1918–1920 שירת בגדודים העבריים.
- בשנת 1934 היה מיוזמי ה”העברה” – פעילות להעברת יהודים ורכוש מתוך שטחי גרמניה הנאצית.
- בשנים 1940–1948 שימש חבר במפקדה הארצית של ההגנה.
",מפא”י
215,אבן אבא,סגן ראש הממשלה,11,"['- למד בבית-הספר סנט-אולאף, לונדון.  - למד בקווינס קולג`, קמבריג`.']",,,מפא”י
216,ספיר פנחס,שר האוצר,11,['למד בבית-ספר דתי ממשלתי-למחצה ”תחכמוני” בווארשה.'],,,מפא”י
217,אשכול לוי,שר הביטחון,11,['- למד ב”חדר”.  - למד שנתיים בגימנסיה עברית בווילנה.'],,"- בשנים 1918–1920 שירת בגדודים העבריים.
- בשנת 1934 היה מיוזמי ה”העברה” – פעילות להעברת יהודים ורכוש מתוך שטחי גרמניה הנאצית.
- בשנים 1940–1948 שימש חבר במפקדה הארצית של ההגנה.
",מפא”י
218,שפירא חיים משה,שר הבריאות,11,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,מפד”ל
219,ששון אליהו,שר הדואר,11,['- למד בבית הספר כי”ח בדמשק.  - למד בקולג` הצרפתי בביירות.'],,,
220,ורהפטיג זרח,שר הדתות,11,['- למד משפטים באוניברסיטת ורשה.  - בעל תואר דוקטור למשפטים מהאוניברסיטה העברית.'],['מרצה למשפט עברי'],,מפד”ל
221,מאיר גולדה,שרת החוץ,11,['בוגרת בית-המדרש למורות במילווקי ובעלת תעודת הוראה'],,,מפא”י
222,ארן זלמן,שר החינוך והתרבות,11,"['- לימודים ב”חדר” ובישיבות ביקטרינוסלב, בקרמנצ`וק וביליסבטגרד  - לימודי ערב בגימנסיה ביוזובקה  - לימודים במכון למדעים עיוניים ובמכון לחקלאות בחרקוב']",,,מפא”י
223,דיין משה,שר החקלאות,11,['- לימודים בבית-הספר החקלאי בנהלל  - לימודים בבית-הספר לפיקוד ומטה של הצבא הבריטי  - לימודי משפטים באוניברסיטה העברית בירושלים ובאוניברסיטת תל-אביב'],,"- במאורעות 1936–1939 שירת במשטרת היישובים העבריים בעמק יזרעאל ובגליל.
- בשנים 1938–1939 שירת בפלוגות השדה ובפלוגות הלילה המיוחדות שהקים צ`רלס אורד וינגייט.
- בשנת 1941 הצטרף לכוח לחימה של ה”הגנה”, ששיתף פעולה עם הצבא הבריטי בכיבוש לבנון מידי כוחות וישי. באחת הפעולות נפצע ואיבד את עינו השמאלית.
- בתחילת מלחמת העצמאות פיקד על הגנת היישובים היהודים בעמק הירדן.
- באביב 1948 שירת כמפקד גדוד 89 שלחם ברמלה ובלוד ומאוחר יותר עצר את הכוחות המצריים בחזית הדרומית.
- באוגוסט 1948 נתמנה למפקד חזית ירושלים והגיע להסכם הפסקת אש עם מפקד הלגיון הערבי בירושלים.
- באביב 1949 השתתף בשיחות על הסכמי שביתת הנשק בין ישראל למצרים ולירדן שהתקיימו ברודוס.
- באוקטובר 1949 נתמנה לאלוף פיקוד הדרום.
- ביוני 1952 נתמנה לאלוף פיקוד הצפון.
- בדצמבר 1952 נתמנה לראש אגף מבצעים (אג”ם) במטכ”ל.
- בשנים 1953–1958 כיהן כרמטכ”ל הרביעי של מדינת ישראל.
- במבצע סיני, בשנת 1956, הנהיג את צה”ל לניצחון.",רפ”י
224,ספיר פנחס,שר המסחר והתעשיה,11,['למד בבית-ספר דתי ממשלתי-למחצה ”תחכמוני” בווארשה.'],,,מפא”י
225,שטרית בכור שלום,שר המשטרה,11,"['למד בחדר, בבית-הספר של כי”ח (אליאנס) ובישיבת טבריה; בבית הספר למשפטים בירושלים. הוסמך כעורך-דין.']",,,מפא”י
226,יוסף דב,שר המשפטים,11,['- לימודים בבית-ספר תיכון במונטריאול  - לימודי כלכלה ומדעי הרוח באוניברסיטת מקגיל במונטריאול  - לימודי משפטים באוניברסיטת לאוואל בקוויבק  - דוקטור לפילוסופיה ומוסמך במשפטים מטעם אוניברסיטת לונדון'],['עורך דין'],"במלחמת העולם הראשונה היה פעיל בארגון ההתנדבות לגדוד העברי בקנדה, ובשנת 1918 הגיע לארץ ישראל כסרג`נט בגדוד.",
227,בורג יוסף,שר הסעד,11,['- הוסמך לרבנות בבית-המדרש לרבנים ע”ש הילדסהיימר בברלין.  - למד באוניברסיטת לייפציג ובאוניברסיטת ברלין. בעל תואר דוקטור לפילוסופיה.'],,,מפד”ל
228,אלון יגאל,שר העבודה,11,"['- לימודים תיכוניים בבית הספר החקלאי ”כדורי”  - 1960–1962 – לימודי פילוסופיה, פוליטיקה וכלכלה באוניברסיטת אוקספורד']",,"- שירות בארגון ”ההגנה”. בשנת 1937 גויס לפלוגות השדה (פו”ש).
- שימש במגוון תפקידים ב”הגנה” ובפלמ”ח.
- היה מפקד חילות השדה (החי”ש) בגליל.
- בשנת 1941, עם הקמת הפלמ”ח, מונה למפקד פלוגה.
- השתתף בכוח הפלמ”ח אשר פלש ללבנון ולסוריה בשיתוף פעולה עם הצבא הבריטי (כחלק ממהלכי מלחמת העולם השנייה).
- כמפקד הפלמ”ח ניהל מערכה נגד הכנופיות הערביות ופיקד על תקיפת מתקנים אזרחיים וצבאיים של הממשל הבריטי.
- פיקד על פעולות הפלמ”ח בסיוע לעלייה הבלתי-ליגלית ובהקמת יישובים חדשים בניגוד לעמדת המנדט הבריטי.
- במלחמת העצמאות עסק בשילוב יחידות הפלמ”ח בצבא שהחל להיבנות, ייסד את חטיבת ”יפתח” והיה למפקדה הראשון.
- כמפקד חטיבת ”יפתח” ניהל את הקרבות נגד צבאות סוריה, לבנון וצבא ההצלה של קאוקג`י בגליל ופיקד על שחרור צפת, לוד, רמלה ופרוזדור ירושלים.
- לאחר הקמת צה”ל מונה למפקד חזית הדרום ופיקד על מהלכי צה”ל שהובילו לשחרור באר-שבע, אילת ושטחים נוספים בנגב.
- בשנת 1950, עם החלטתו של בן-גוריון לפרק את הפלמ”ח, עזב את השירות הצבאי הפעיל.",אחדות העבודה - פועלי ציון
229,אלמוגי יוסף-אהרן,שר הפיתוח,11,['חינוך מסורתי וכללי'],,"- עם עלייתו ארצה הצטרף לארגון ה”הגנה” ובשנת 1936 עסק בארגון פלוגות ”הפועל” (פלוגות המגן של ההסתדרות) באזור תל-אביב.
- בשנת 1937 עסק בארגון פלוגות ”הפועל” בחיפה.
- בשנת 1940 התגייס לצבא הבריטי, נפל בשבי הגרמני ביוון ונשאר שבוי עד סיום המלחמה. בהיותו בשבי הגרמני מילא תפקיד מרכזי בארגון השבויים היהודים מארץ-ישראל.",רפ”י
230,שפירא חיים משה,שר הפנים,11,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,מפד”ל
231,אלמוגי יוסף-אהרן,שר השיכון,11,['חינוך מסורתי וכללי'],,"- עם עלייתו ארצה הצטרף לארגון ה”הגנה” ובשנת 1936 עסק בארגון פלוגות ”הפועל” (פלוגות המגן של ההסתדרות) באזור תל-אביב.
- בשנת 1937 עסק בארגון פלוגות ”הפועל” בחיפה.
- בשנת 1940 התגייס לצבא הבריטי, נפל בשבי הגרמני ביוון ונשאר שבוי עד סיום המלחמה. בהיותו בשבי הגרמני מילא תפקיד מרכזי בארגון השבויים היהודים מארץ-ישראל.",רפ”י
232,בר-יהודה ישראל,שר התחבורה,11,['למד בבית-ספר תיכון ריאלי ביאקטרינוסלב ובמכון למהנדסי מכרות בעיר.'],,,אחדות העבודה - פועלי ציון
233,גוברין עקיבא,שר במשרד ראש הממשלה,11,['בעל השכלה תיכונית.'],,,מפא”י
234,פרס שמעון,סגן שר הביטחון,11,['- בתי-הספר ”בלפור” ו”גאולה” בתל אביב  - בית הספר החקלאי בבן שמן  - לימודים באוניברסיטת ניו-יורק  - לימודים באוניברסיטת הרווארד'],,"- משנת 1947 עד לאחר קום המדינה עבד עם דוד בן-גוריון ועם לוי אשכול במפקדת ההגנה.
- בשנת 1950 נתמנה באופן זמני לראש שירותי הים בצה”ל.
",רפ”י
235,רפאל יצחק,סגן שר הבריאות,11,"['- למד ב""חדר"".  - למד בישיבה בלובלין.  - למד בגימנסיה בלבוב.  - למדבאוניברסיטה העברית; בעל תואר MA במדעי הרוח.  - בעל תואר דוקטור לספרות מטעם הסמינר התיאולוגי בניו-יורק.']",,,מפד”ל
236,ידלין אהרן,סגן שר החינוך והתרבות,11,"['- למד בבית-הספר העממי ”גאולה” ובבית-הספר הריאלי בחיפה.  - למד היסטוריה כללית, כלכלה וסוציולוגיה באוניברסיטה העברית.  - בעל תואר MA.']",,,מפא”י
237,בן-מאיר שלמה ישראל,סגן שר הפנים,11,['- ישיבת ”ר` יצחק אלחנן” ו”ישיבה יוניברסיטי”  - אוניברסיטת ניו-יורק  - מוסמך לרבנות ובעל תואר דוקטור למשפטים'],,,מפד”ל
238,אשכול לוי,ראש הממשלה,12,['- למד ב”חדר”.  - למד שנתיים בגימנסיה עברית בווילנה.'],,"- בשנים 1918–1920 שירת בגדודים העבריים.
- בשנת 1934 היה מיוזמי ה”העברה” – פעילות להעברת יהודים ורכוש מתוך שטחי גרמניה הנאצית.
- בשנים 1940–1948 שימש חבר במפקדה הארצית של ההגנה.
",מפא”י
239,אבן אבא,סגן ראש הממשלה,12,"['- למד בבית-הספר סנט-אולאף, לונדון.  - למד בקווינס קולג`, קמבריג`.']",,,מפא”י
240,ספיר פנחס,שר האוצר,12,['למד בבית-ספר דתי ממשלתי-למחצה ”תחכמוני” בווארשה.'],,,מפא”י
241,אשכול לוי,שר הביטחון,12,['- למד ב”חדר”.  - למד שנתיים בגימנסיה עברית בווילנה.'],,"- בשנים 1918–1920 שירת בגדודים העבריים.
- בשנת 1934 היה מיוזמי ה”העברה” – פעילות להעברת יהודים ורכוש מתוך שטחי גרמניה הנאצית.
- בשנים 1940–1948 שימש חבר במפקדה הארצית של ההגנה.
",מפא”י
242,שפירא חיים משה,שר הבריאות,12,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,מפד”ל
243,ששון אליהו,שר הדואר,12,['- למד בבית הספר כי”ח בדמשק.  - למד בקולג` הצרפתי בביירות.'],,,
244,ורהפטיג זרח,שר הדתות,12,['- למד משפטים באוניברסיטת ורשה.  - בעל תואר דוקטור למשפטים מהאוניברסיטה העברית.'],['מרצה למשפט עברי'],,מפד”ל
245,מאיר גולדה,שרת החוץ,12,['בוגרת בית-המדרש למורות במילווקי ובעלת תעודת הוראה'],,,מפא”י
246,ארן זלמן,שר החינוך והתרבות,12,"['- לימודים ב”חדר” ובישיבות ביקטרינוסלב, בקרמנצ`וק וביליסבטגרד  - לימודי ערב בגימנסיה ביוזובקה  - לימודים במכון למדעים עיוניים ובמכון לחקלאות בחרקוב']",,,מפא”י
247,גבתי חיים,שר החקלאות,12,"['למד ב”חדר”, בבית-ספר כללי לילדים יהודים ובסמינר למורים עבריים ”תרבות” בווילנה.']",,,
248,ספיר פנחס,שר המסחר והתעשיה,12,['למד בבית-ספר דתי ממשלתי-למחצה ”תחכמוני” בווארשה.'],,,מפא”י
249,שטרית בכור שלום,שר המשטרה,12,"['למד בחדר, בבית-הספר של כי”ח (אליאנס) ובישיבת טבריה; בבית הספר למשפטים בירושלים. הוסמך כעורך-דין.']",,,מפא”י
250,יוסף דב,שר המשפטים,12,['- לימודים בבית-ספר תיכון במונטריאול  - לימודי כלכלה ומדעי הרוח באוניברסיטת מקגיל במונטריאול  - לימודי משפטים באוניברסיטת לאוואל בקוויבק  - דוקטור לפילוסופיה ומוסמך במשפטים מטעם אוניברסיטת לונדון'],['עורך דין'],"במלחמת העולם הראשונה היה פעיל בארגון ההתנדבות לגדוד העברי בקנדה, ובשנת 1918 הגיע לארץ ישראל כסרג`נט בגדוד.",
251,בורג יוסף,שר הסעד,12,['- הוסמך לרבנות בבית-המדרש לרבנים ע”ש הילדסהיימר בברלין.  - למד באוניברסיטת לייפציג ובאוניברסיטת ברלין. בעל תואר דוקטור לפילוסופיה.'],,,מפד”ל
252,אלון יגאל,שר העבודה,12,"['- לימודים תיכוניים בבית הספר החקלאי ”כדורי”  - 1960–1962 – לימודי פילוסופיה, פוליטיקה וכלכלה באוניברסיטת אוקספורד']",,"- שירות בארגון ”ההגנה”. בשנת 1937 גויס לפלוגות השדה (פו”ש).
- שימש במגוון תפקידים ב”הגנה” ובפלמ”ח.
- היה מפקד חילות השדה (החי”ש) בגליל.
- בשנת 1941, עם הקמת הפלמ”ח, מונה למפקד פלוגה.
- השתתף בכוח הפלמ”ח אשר פלש ללבנון ולסוריה בשיתוף פעולה עם הצבא הבריטי (כחלק ממהלכי מלחמת העולם השנייה).
- כמפקד הפלמ”ח ניהל מערכה נגד הכנופיות הערביות ופיקד על תקיפת מתקנים אזרחיים וצבאיים של הממשל הבריטי.
- פיקד על פעולות הפלמ”ח בסיוע לעלייה הבלתי-ליגלית ובהקמת יישובים חדשים בניגוד לעמדת המנדט הבריטי.
- במלחמת העצמאות עסק בשילוב יחידות הפלמ”ח בצבא שהחל להיבנות, ייסד את חטיבת ”יפתח” והיה למפקדה הראשון.
- כמפקד חטיבת ”יפתח” ניהל את הקרבות נגד צבאות סוריה, לבנון וצבא ההצלה של קאוקג`י בגליל ופיקד על שחרור צפת, לוד, רמלה ופרוזדור ירושלים.
- לאחר הקמת צה”ל מונה למפקד חזית הדרום ופיקד על מהלכי צה”ל שהובילו לשחרור באר-שבע, אילת ושטחים נוספים בנגב.
- בשנת 1950, עם החלטתו של בן-גוריון לפרק את הפלמ”ח, עזב את השירות הצבאי הפעיל.",אחדות העבודה - פועלי ציון
253,צדוק חיים יוסף,שר הפיתוח,12,['- לימודים בגימנסיה ברווה-רוסקה  - לימודי פילוסופיה ויהדות באוניברסיטת ורשה  - תואר במשפטים מבית-הספר הממשלתי למשפטים בירושלים'],,"- עד שנת 1945 שירת בהגנה ובמשטרת היישובים העבריים.
- במלחמת העצמאות שירת כקצין בצה”ל.",מפא”י
254,שפירא חיים משה,שר הפנים,12,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,מפד”ל
255,אשכול לוי,שר השיכון,12,['- למד ב”חדר”.  - למד שנתיים בגימנסיה עברית בווילנה.'],,"- בשנים 1918–1920 שירת בגדודים העבריים.
- בשנת 1934 היה מיוזמי ה”העברה” – פעילות להעברת יהודים ורכוש מתוך שטחי גרמניה הנאצית.
- בשנים 1940–1948 שימש חבר במפקדה הארצית של ההגנה.
",מפא”י
256,כרמל משה,שר התחבורה,12,['- למד ב”חדר” ובבית-ספר.  - למד היסטוריה ופילוסופיה באוניברסיטה העברית.  - למד במכון למדעי המדינה בפריז.'],,"- שירת ב”הגנה” ועסק בהדרכת מפקדים.
- ערב מלחמת העצמאות היה מפקד מחוז חיפה ומפקד חזית הצפון.
- פיקד על שחרור חיפה, עכו והגליל.
- בשנת 1950 פרש מצה”ל בדרגת אלוף.",אחדות העבודה - פועלי ציון
257,גוברין עקיבא,שר התיירות,12,['בעל השכלה תיכונית.'],,,מפא”י
258,פרס שמעון,סגן שר הביטחון,12,['- בתי-הספר ”בלפור” ו”גאולה” בתל אביב  - בית הספר החקלאי בבן שמן  - לימודים באוניברסיטת ניו-יורק  - לימודים באוניברסיטת הרווארד'],,"- משנת 1947 עד לאחר קום המדינה עבד עם דוד בן-גוריון ועם לוי אשכול במפקדת ההגנה.
- בשנת 1950 נתמנה באופן זמני לראש שירותי הים בצה”ל.
",רפ”י
259,רפאל יצחק,סגן שר הבריאות,12,"['- למד ב""חדר"".  - למד בישיבה בלובלין.  - למד בגימנסיה בלבוב.  - למדבאוניברסיטה העברית; בעל תואר MA במדעי הרוח.  - בעל תואר דוקטור לספרות מטעם הסמינר התיאולוגי בניו-יורק.']",,,מפד”ל
260,ידלין אהרן,סגן שר החינוך,12,"['- למד בבית-הספר העממי ”גאולה” ובבית-הספר הריאלי בחיפה.  - למד היסטוריה כללית, כלכלה וסוציולוגיה באוניברסיטה העברית.  - בעל תואר MA.']",,,מפא”י
261,כהנא קלמן,סגן שר החינוך והתרבות,12,"['- קיבל חינוך מסורתי.  - למד בגימנסיה היהודית בברודי.  - בוגר בית-המדרש לרבנים מיסודו של הרב עזריאל הילדסהיימר בברלין.  - למד באוניברסיטאות ברלין ווירצבורג (פילוסופיה, שפות שמיות, היסטוריה ופדגוגיה).  - בעל תואר דוקטור לפילוסופיה.']",,,פועלי אגודת ישראל
262,בן-מאיר שלמה ישראל,סגן שר הפנים,12,['- ישיבת ”ר` יצחק אלחנן” ו”ישיבה יוניברסיטי”  - אוניברסיטת ניו-יורק  - מוסמך לרבנות ובעל תואר דוקטור למשפטים'],,,מפד”ל
263,אשכול לוי,ראש הממשלה,13,['- למד ב”חדר”.  - למד שנתיים בגימנסיה עברית בווילנה.'],,"- בשנים 1918–1920 שירת בגדודים העבריים.
- בשנת 1934 היה מיוזמי ה”העברה” – פעילות להעברת יהודים ורכוש מתוך שטחי גרמניה הנאצית.
- בשנים 1940–1948 שימש חבר במפקדה הארצית של ההגנה.
",מערך
264,אלון יגאל,סגן ראש הממשלה,13,"['- לימודים תיכוניים בבית הספר החקלאי ”כדורי”  - 1960–1962 – לימודי פילוסופיה, פוליטיקה וכלכלה באוניברסיטת אוקספורד']",,"- שירות בארגון ”ההגנה”. בשנת 1937 גויס לפלוגות השדה (פו”ש).
- שימש במגוון תפקידים ב”הגנה” ובפלמ”ח.
- היה מפקד חילות השדה (החי”ש) בגליל.
- בשנת 1941, עם הקמת הפלמ”ח, מונה למפקד פלוגה.
- השתתף בכוח הפלמ”ח אשר פלש ללבנון ולסוריה בשיתוף פעולה עם הצבא הבריטי (כחלק ממהלכי מלחמת העולם השנייה).
- כמפקד הפלמ”ח ניהל מערכה נגד הכנופיות הערביות ופיקד על תקיפת מתקנים אזרחיים וצבאיים של הממשל הבריטי.
- פיקד על פעולות הפלמ”ח בסיוע לעלייה הבלתי-ליגלית ובהקמת יישובים חדשים בניגוד לעמדת המנדט הבריטי.
- במלחמת העצמאות עסק בשילוב יחידות הפלמ”ח בצבא שהחל להיבנות, ייסד את חטיבת ”יפתח” והיה למפקדה הראשון.
- כמפקד חטיבת ”יפתח” ניהל את הקרבות נגד צבאות סוריה, לבנון וצבא ההצלה של קאוקג`י בגליל ופיקד על שחרור צפת, לוד, רמלה ופרוזדור ירושלים.
- לאחר הקמת צה”ל מונה למפקד חזית הדרום ופיקד על מהלכי צה”ל שהובילו לשחרור באר-שבע, אילת ושטחים נוספים בנגב.
- בשנת 1950, עם החלטתו של בן-גוריון לפרק את הפלמ”ח, עזב את השירות הצבאי הפעיל.",מערך
265,זאב שרף,שר האוצר,13,,,,מערך
266,דיין משה,שר הביטחון,13,['- לימודים בבית-הספר החקלאי בנהלל  - לימודים בבית-הספר לפיקוד ומטה של הצבא הבריטי  - לימודי משפטים באוניברסיטה העברית בירושלים ובאוניברסיטת תל-אביב'],,"- במאורעות 1936–1939 שירת במשטרת היישובים העבריים בעמק יזרעאל ובגליל.
- בשנים 1938–1939 שירת בפלוגות השדה ובפלוגות הלילה המיוחדות שהקים צ`רלס אורד וינגייט.
- בשנת 1941 הצטרף לכוח לחימה של ה”הגנה”, ששיתף פעולה עם הצבא הבריטי בכיבוש לבנון מידי כוחות וישי. באחת הפעולות נפצע ואיבד את עינו השמאלית.
- בתחילת מלחמת העצמאות פיקד על הגנת היישובים היהודים בעמק הירדן.
- באביב 1948 שירת כמפקד גדוד 89 שלחם ברמלה ובלוד ומאוחר יותר עצר את הכוחות המצריים בחזית הדרומית.
- באוגוסט 1948 נתמנה למפקד חזית ירושלים והגיע להסכם הפסקת אש עם מפקד הלגיון הערבי בירושלים.
- באביב 1949 השתתף בשיחות על הסכמי שביתת הנשק בין ישראל למצרים ולירדן שהתקיימו ברודוס.
- באוקטובר 1949 נתמנה לאלוף פיקוד הדרום.
- ביוני 1952 נתמנה לאלוף פיקוד הצפון.
- בדצמבר 1952 נתמנה לראש אגף מבצעים (אג”ם) במטכ”ל.
- בשנים 1953–1958 כיהן כרמטכ”ל הרביעי של מדינת ישראל.
- במבצע סיני, בשנת 1956, הנהיג את צה”ל לניצחון.",מערך
267,ברזילי ישראל,שר הבריאות,13,"['למד ב”חדר”, בגימנסיה היהודית בוולוצלבק ובקונסרבטוריון בפריז.']",,,
268,ששון אליהו,שר הדואר,13,['- למד בבית הספר כי”ח בדמשק.  - למד בקולג` הצרפתי בביירות.'],,,מערך
269,ורהפטיג זרח,שר הדתות,13,['- למד משפטים באוניברסיטת ורשה.  - בעל תואר דוקטור למשפטים מהאוניברסיטה העברית.'],['מרצה למשפט עברי'],,מפד”ל
270,גלילי ישראל,שר ההסברה,13,['לימודי דפוס בבית-ספר יסודי בתל-אביב'],,"- בשנת 1927 התגייס ל”הגנה”.
- בשנת 1935 נתמנה לחבר המפקדה הארצית של ”ההגנה”.
- במלחמת העולם השנייה השתתף בהכנות לקראת פלישה גרמנית אפשרית לארץ-ישראל.
- לאחר מלחמת העולם השנייה עסק בפעילות מחתרתית מזוינת נגד הבריטים והופקד על הרכש של ”ההגנה” ועל חימוש כוחותיה.
- בשנים 1946–1948 שירת בתפקיד ראש המטה הארצי של ”ההגנה” ולקח חלק בהכנות למלחמת העצמאות.
",מערך
271,אבן אבא,שר החוץ,13,"['- למד בבית-הספר סנט-אולאף, לונדון.  - למד בקווינס קולג`, קמבריג`.']",,,מערך
272,ארן זלמן,שר החינוך והתרבות,13,"['- לימודים ב”חדר” ובישיבות ביקטרינוסלב, בקרמנצ`וק וביליסבטגרד  - לימודי ערב בגימנסיה ביוזובקה  - לימודים במכון למדעים עיוניים ובמכון לחקלאות בחרקוב']",,,מערך
273,גבתי חיים,שר החקלאות,13,"['למד ב”חדר”, בבית-ספר כללי לילדים יהודים ובסמינר למורים עבריים ”תרבות” בווילנה.']",,,מערך
274,זאב שרף,שר המסחר והתעשיה,13,,,,מערך
275,ששון אליהו,שר המשטרה,13,['- למד בבית הספר כי”ח בדמשק.  - למד בקולג` הצרפתי בביירות.'],,,מערך
276,שפירא יעקב שמשון,שר המשפטים,13,['- למד בישיבת לידא.  - למד בפקולטה לרפואה באוניברסיטת חארקוב.  - למד בבית הספר למשפטים בירושלים.  - הוסמך לעורך דין.'],['עורך דין'],,
277,בורג יוסף,שר הסעד,13,['- הוסמך לרבנות בבית-המדרש לרבנים ע”ש הילדסהיימר בברלין.  - למד באוניברסיטת לייפציג ובאוניברסיטת ברלין. בעל תואר דוקטור לפילוסופיה.'],,,מפד”ל
278,אלון יגאל,שר העבודה,13,"['- לימודים תיכוניים בבית הספר החקלאי ”כדורי”  - 1960–1962 – לימודי פילוסופיה, פוליטיקה וכלכלה באוניברסיטת אוקספורד']",,"- שירות בארגון ”ההגנה”. בשנת 1937 גויס לפלוגות השדה (פו”ש).
- שימש במגוון תפקידים ב”הגנה” ובפלמ”ח.
- היה מפקד חילות השדה (החי”ש) בגליל.
- בשנת 1941, עם הקמת הפלמ”ח, מונה למפקד פלוגה.
- השתתף בכוח הפלמ”ח אשר פלש ללבנון ולסוריה בשיתוף פעולה עם הצבא הבריטי (כחלק ממהלכי מלחמת העולם השנייה).
- כמפקד הפלמ”ח ניהל מערכה נגד הכנופיות הערביות ופיקד על תקיפת מתקנים אזרחיים וצבאיים של הממשל הבריטי.
- פיקד על פעולות הפלמ”ח בסיוע לעלייה הבלתי-ליגלית ובהקמת יישובים חדשים בניגוד לעמדת המנדט הבריטי.
- במלחמת העצמאות עסק בשילוב יחידות הפלמ”ח בצבא שהחל להיבנות, ייסד את חטיבת ”יפתח” והיה למפקדה הראשון.
- כמפקד חטיבת ”יפתח” ניהל את הקרבות נגד צבאות סוריה, לבנון וצבא ההצלה של קאוקג`י בגליל ופיקד על שחרור צפת, לוד, רמלה ופרוזדור ירושלים.
- לאחר הקמת צה”ל מונה למפקד חזית הדרום ופיקד על מהלכי צה”ל שהובילו לשחרור באר-שבע, אילת ושטחים נוספים בנגב.
- בשנת 1950, עם החלטתו של בן-גוריון לפרק את הפלמ”ח, עזב את השירות הצבאי הפעיל.",מערך
279,קול משה,שר הפיתוח,13,['- לימודים ב”חדר” מתוקן  - לימודים בגימנסיה העברית ”תרבות” בפינסק  - לימודים באוניברסיטה העברית'],,,ל”ע
280,שפירא חיים משה,שר הפנים,13,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,מפד”ל
